SensorCode,DateTimeUtc,Address,Mean,Max,Packets,Oui,Channel,Retry,PacketType
557,1-1-2020 05:15,f4119oxj3DI=,-89,-89,1,MBDk,,,
557,1-1-2020 10:12,DOYzjPFTZTM=,-81,-81,2,GGWQ,,,
557,1-1-2020 11:19,gQaOzPcQCtw=,-67,-67,1,bBnA,,,
557,1-1-2020 13:55,Y1AU7k9yRxg=,-83,-83,1,froa,,,
557,1-1-2020 15:03,Btg2+AHWwUs=,-83,-83,1,CHgI,,,
557,2-1-2020 09:55,roeoZ0/8ucg=,-79,-79,1,fDit,,,
557,2-1-2020 10:19,GG/fA8uyCAs=,-85,-85,1,KtWu,,,
557,2-1-2020 13:59,VA2cm6bZAqI=,-76,-79,2,6tU4,,,
557,2-1-2020 14:25,7LjZe6BEejQ=,-43,-43,2,lj4T,,,
557,2-1-2020 14:40,V5VGV5/X6l8=,-73,-73,1,XF9n,,,
557,2-1-2020 15:28,i7XOoJO/e+8=,-61,-61,1,aOzF,,,
557,2-1-2020 15:28,6WrUBtB9fNM=,-81,-81,1,LifX,,,
557,2-1-2020 21:07,4IPLC0eQd0Q=,-87,-87,1,fEaF,,,
557,3-1-2020 06:06,ct7BDi/naYE=,-85,-85,1,dNo4,,,
557,3-1-2020 13:28,b9SURmsGYxs=,-78,-77,2,kl5I,,,
557,3-1-2020 14:10,2pfJhO0bcvU=,-79,-79,1,lsDi,,,
557,4-1-2020 08:55,PfK5wsASTFk=,-58,-57,2,bkaU,,,
557,4-1-2020 10:52,XAenEPf1joc=,-69,-69,1,OKKM,,,
557,4-1-2020 11:34,XAenEPf1joc=,-74,-75,2,OKKM,,,
557,4-1-2020 12:20,lAGklZQu8Vs=,-71,-71,1,upqD,,,
557,4-1-2020 14:01,fmCB3wptiHM=,-73,-75,2,Jpva,,,
557,4-1-2020 15:39,5bVZcJdSZpQ=,-77,-77,1,XgvU,,,
557,4-1-2020 20:14,ct7BDi/naYE=,-89,-89,1,dNo4,,,
557,5-1-2020 16:34,ZEFS80xvQEY=,-77,-77,1,bK34,,,
557,5-1-2020 17:12,qS1lTquwgY8=,-71,-71,2,iErq,,,
557,6-1-2020 12:08,F0edA6ZAy8c=,-81,-79,2,JBgd,,,
557,6-1-2020 14:04,v0Snfcpz+I8=,-83,-83,1,Ah1j,,,
557,6-1-2020 14:45,a/YSTZga6HM=,-85,-85,1,ciP4,,,
557,7-1-2020 09:59,P9TESLpB7OI=,-85,-85,1,HgMk,,,
557,7-1-2020 10:24,pEDY2YNOXH8=,-89,-89,1,PAdx,,,
557,7-1-2020 11:20,YGCojw0Jd8g=,-65,-65,2,rs44,,,
557,7-1-2020 11:50,h1pV/TjdjH4=,-79,-79,1,FJ88,,,
557,7-1-2020 16:05,0k5KNZmRMUw=,-77,-77,1,JHcD,,,
557,7-1-2020 18:12,peghDdghYvo=,-662,-59,12,hCUZ,,,
557,7-1-2020 19:27,peghDdghYvo=,-655,-59,17,hCUZ,,,
557,8-1-2020 10:46,peghDdghYvo=,-47,-55,1,hCUZ,,,
557,8-1-2020 15:26,nIreGs0TKe8=,-43,-43,1,2qEZ,,,
557,8-1-2020 16:05,4IPLC0eQd0Q=,-87,-87,1,fEaF,,,
557,9-1-2020 02:31,YLRAHbaPVfE=,-65,-65,1,6B2o,,,
557,9-1-2020 08:36,Xrs1dSUGXck=,-43,-55,1,MAdN,,,
557,9-1-2020 09:03,9+zPemF9XT4=,-72,-77,2,TBuG,,,
557,9-1-2020 13:09,i7XOoJO/e+8=,-63,-61,2,aOzF,,,
557,9-1-2020 13:37,6Ej0OWQp5mg=,-77,-77,1,4NCD,,,
557,9-1-2020 18:10,tqMp09Pi8Lc=,-77,-77,1,hmG6,,,
557,9-1-2020 22:18,2OPhgtuBFrw=,-81,-83,2,cPEc,,,
557,10-1-2020 12:00,V5VGV5/X6l8=,-71,-71,1,XF9n,,,
557,10-1-2020 14:16,f41+l5XQ+Dw=,-81,-81,1,/ly+,,,
